Entry,Move,Exit,Step Sequence,Comments
RFO,Bracket,RBI,0,
RBI,Step,LBO,0,Under
LBO,Step,RBI,0,
RBI,Three Turn,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Snowplow Stop,LBO,0,
LBO,Back Scratch Spin,LBO,0,
LBO,Three Turn,LFI,0,
LFI,Step,RFO,0,
RFO,Step,LFO,0,Under
LFO,Bracket,LBI,0,
LBI,Step,RFO,0,
RFO,Waltz Jump,LBO,0,
LBO,Toe Tap Around (2-step),LBO,0,
LBO,Step,RFO,0,
RFO,Waltz Jump,LBO,0,
LBO,Step,RFO,0,
RFO,Step,LFI,0,crossover
LFI,Step,RFO,0,crossover
RFO,Step,LFI,0,crossover
LFI,Step,RFI,0,
RFI,Three Turn,RBO,0,
RBO,Three Turn,RFI,0,
RFI,Three Turn,RBO,0,
RBO,Step,LBI,0,crossover
LBI,Step,RBI,0,
RBI,Step,LBO,0,crossover
LBO,Step,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Step,LBO,0,
LBO,Step,RBI,0,crossover
RBI,Step,LBO,0,crossover
LBO,Step,RFO,0,
RFO,Axel,LBO,0,
LBO,Loop,LBO,0,
LBO,Three Turn,LFI,0,
LFI,Step,RFI,0,
RFI,Spread Eagle,RFI,0,
RFI,Three Turn,RBO,0,
RBO,Step,LBI,0,crossover
LBI,Toe Tap Around (3-step),RBO,0,
RBO,Step,LBI,0,crossover
LBI,Step,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Weight Change,RBO,0,
RBO,Step,LBI,0,crossover
LBI,Step,RBO,0,
RBO,Lutz,LBO,0,
LBO,Toe Loop,LBO,0,
LBO,Loop,LBO,0,
LBO,Step,RFO,0,
RFO,Step,LFI,0,crossover
LFI,Step,RFI,0,
RFI,Mohawk,LBI,0,
LBI,Step,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Step,LBO,0,under push
LBO,Three Turn,LFI,0,
LFI,Full Twizzle,LFI,0,
LFI,Half Twizzle,LBO,0,
LBO,Step,RBI,0,cross behind
RBI,Weight Change,RBO,0,
RBO,Step,LBI,0,
LBI,Step,RFO,0,
RFO,Forward Layback Spin to Forward Sit Spin,LBO,0,
LBO,Back Sit Spin,LBO,0,
LBO,Step,RBI,0,cross behind
RBI,Weight Change,RBO,0,
RBO,Step,LBI,0,
LBI,Single Toe Hop,LFO,0,
LFO,Three Turn,LBI,0,
LBI,Step,RFO,0,
RFO,Forward Camel Spin,LBO,0,
LBO,Back Camel Spin to Back Sit Spin,LBO,0,
LBO,Step,RBI,0,cross behind
RBI,Weight Change,RBO,0,
RBO,Step,LBI,0,
LBI,Step,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Three Turn,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Weight Change,RBO,0,under push
RBO,Step,LBI,0,
LBI,Step,RFO,0,
RFO,Step,LFI,0,straight steps
LFI,Step,RFI,0,
RFI,Step,LFI,0,
LFI,Mohawk,RBI,0,
RBI,Step,LBO,0,
LBO,Toe Loop,LBO,0,
LBO,Step,RBI,0,
RBI,Weight Change,RBO,0,
RBO,Step,LBI,0,crossover
LBI,Step,RBO,0,crossover
RBO,Lutz,LBO,0,
LBO,Step,RFO,0,
RFO,Three Turn,RBI,0,
RBI,Snowplow Stop,LBO,0,
LBO,Step,RFI,1,
RFI,Forward Toe Hop,LFI,1,
LFI,Forward Toe Hop,RFI,1,
RFI,Bracket,RBO,1,
RBO,Counter,RFO,1,
RFO,Figure Loop,RFO,1,
RFO,Step,LFO,1,cross roll
LFO,Step,RFI,1,
RFI,Mohawk,LBI,1,
LBI,Three Turn,LFO,1,
LFO,Toe Tap Around (3-step),RBO,1,
RBO,Step,LBI,1,crossover
LBI,Weight Change,LBO,1,
LBO,Step,RFI,1,
RFI,Mohawk,LBI,1,
LBI,Step,RFI,1,
RFI,Step,LFI,1,
LFI,Full Twizzle,LFI,1,
LFI,Full Twizzle,LFI,1,
LFI,Half Twizzle,LBO,1,
LBO,Step,RFO,1,
RFO,Lunge,RFO,1,
RFO,Three Turn,RBI,1,
RBI,Step,LBO,1,
LBO,Power Pull,LBI,1,
LBI,Rocker,LFI,1,
LFI,Counter,LBI,1,
LBI,Step,RFO,1,
RFO,Attitude,RFO,1,
RFO,Step,LBO,1,
LBO,Toe Tap Around (2-step),LBO,1,
LBO,Step,RBI,1,
RBI,Weight Change,RBO,1,
RBO,Step,LFI,1,
LFI,Step,RFO,1,
RFO,Three Turn,RBI,1,
RBI,Step,LBO,1,
LBO,Step,RFO,1,
RFO,Step,LFI,1,crossover
LFI,Step,RFO,1,
RFO,Step,LFI,1,
LFI,Step,RFO,1,
RFO,Step,LFI,1,
LFI,Bracket,LBO,1,
LBO,Step,RBO,1,
RBO,Three Turn,RFI,1,
RFI,Step,LFI,1,
LFI,Mohawk,RBI,1,
RBI,Flip,LBO,1,
LBO,Power Pull,LBI,1,
LBI,Figure Loop,LBI,1,
LBI,Power Pull,LBO,1,
LBO,Pivot,LBO,1,
LBO,Back Scratch Spin,LBO,1,
